coin,date,target,price_change_percent,price_trend_7d,volatility_7d,avg_volume_7d,avg_price_7d,news_volume_change,sentiment_change,positive_change,negative_change,negative_spike,positive_spike,price_sentiment_alignment,divergence
trx,2025-10-01,1,2.486223571809483,-1.4056436429337316,0.002263282142612451,593804797.8571428,0.33596198099606467,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-06,1,1.4328533743785616,1.3000466920630585,0.0031543321073519964,606593213.8571428,0.3398734972359176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-10-07,0,-2.370813877259131,3.8284677148802753,0.003585176003793614,642277206.2857143,0.3411981439586253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-10-08,1,1.2050652982080792,-1.092181504058266,0.0023177164895024833,667967340.4285715,0.3418493687598908,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-09,0,-1.703072201162871,-0.25150923126019004,0.0023195733904820296,676827060.7142857,0.3418980605513448,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-10,0,-4.510334820818098,-1.6830481454050057,0.002960211765581863,692143360.4285715,0.3409424278141719,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-11,0,-2.017607542954068,-5.656702020690956,0.007462038749689797,806663774.0,0.3379530563444151,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-12,1,2.6393336993641823,-7.826746894202871,0.010901357844081864,886729643.8571428,0.33427673271850217,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-14,0,-1.8397004753436121,-4.477826566403932,0.009602765388031337,957048673.1428572,0.3283108941501078,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-15,1,0.7625312099069508,-7.351621898968492,0.009376131144625372,1038554974.5714285,0.32529968504982587,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-16,0,-1.2750108652715708,-5.027702299533237,0.006470078459371254,1074297637.7142856,0.3220517966656992,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-17,0,-1.9753680608270576,-1.8099074807217366,0.0032120752285109606,1110611491.2857144,0.3190545388119329,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-18,1,1.2993170472912614,-1.767578460639524,0.004572289881361422,1041545718.5714285,0.3173343792768941,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-19,1,2.320515673270965,-3.0500602918422643,0.0047307869812305055,962587663.1428572,0.31711356674782387,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-20,1,0.7258815462936211,-0.7874765144842804,0.004344965214450526,882488647.2857143,0.31674431788872803,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-23,0,-2.5328477451132145,2.1323544701295143,0.0049079077029911084,774924874.7142857,0.3177808168850262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-10-24,0,-3.204350919495621,1.5515135977991752,0.005034348022552534,741481536.5714285,0.3175760797173755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-10-25,0,-2.2419743745906837,-2.9633667794852667,0.006440963736741897,730327661.8571428,0.31682429017928004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-26,1,1.2090147606539743,-7.290247566133343,0.009500202025027948,805652213.0,0.3145256418807559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-27,0,-0.7590975519452562,-6.845563836308248,0.010248922417813097,859020373.1428572,0.3117020245750082,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-28,0,-0.8657929192545633,-7.293552923168176,0.010058204891575452,869809535.5714285,0.30822019154846014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-30,0,-1.2597261887153801,-5.664170875102028,0.005958210214189509,832766138.4285715,0.3007930378896681,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-10-31,1,1.306360629931147,-3.768963930806804,0.003413633886261412,895049249.7142857,0.2977202413463386,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
